hugo_name hugo_id
IRF2 HGNC:6117
IRF3 HGNC:6118
IRF4 HGNC:6119
IRF5 HGNC:6120
IRF6 HGNC:6121
IRF8 HGNC:5358
IRF9 HGNC:6131
IRX1 HGNC:14358
IRX2 HGNC:14359
IRX3 HGNC:14360
IRX4 HGNC:6129
IRX5 HGNC:14361
IRX6 HGNC:14675
ISX HGNC:28084
JDP2 HGNC:17546
KDM2B HGNC:13610
KLF1 HGNC:6345
KLF2 HGNC:6347
KLF3 HGNC:16516
KLF4 HGNC:6348
KLF5 HGNC:6349
KLF6 HGNC:2235
KLF7 HGNC:6350
KLF8 HGNC:6351
KLF9 HGNC:1123
KLF12 HGNC:6346
KLF13 HGNC:13672
KLF14 HGNC:23025
KMT2A HGNC:7132
LBX1 HGNC:16960
LBX2 HGNC:15525
LCOR HGNC:29503
LEF1 HGNC:6551
LHX1 HGNC:6593
LHX2 HGNC:6594
LHX3 HGNC:6595
LHX4 HGNC:21734
LHX5 HGNC:14216
LHX6 HGNC:21735
LHX8 HGNC:28838
LHX9 HGNC:14222
LIN54 HGNC:25397
LMX1A HGNC:6653
LMX1B HGNC:6654
LYL1 HGNC:6734
MAFF HGNC:6780
MAFG HGNC:6781
MAFK HGNC:6782
MAX HGNC:6913
MECP2 HGNC:6990
MEIS1 HGNC:7000
MEIS2 HGNC:7001
MEIS3 HGNC:29537
MEOX1 HGNC:7013
MEOX2 HGNC:7014
MITF HGNC:7105
MLX HGNC:11645
MLXIP HGNC:17055
MLXIPL HGNC:12744
MNX1 HGNC:4979
MSC HGNC:7321
MSX1 HGNC:7391
MSX2 HGNC:7392
MXD1 HGNC:6761
MXD3 HGNC:14008
MXD4 HGNC:13906
MXI1 HGNC:7534
MYB HGNC:7545
MYBL1 HGNC:7547
MYBL2 HGNC:7548
MYC HGNC:7553
MYCL HGNC:7555
MYCN HGNC:7559
MYF5 HGNC:7565
MYF6 HGNC:7566
MYOD1 HGNC:7611
MYOG HGNC:7612
MYPOP HGNC:20178
MYRF HGNC:1181
MYT1L HGNC:7623
MZF1 HGNC:13108
NAIF1 HGNC:25446
NANOG HGNC:20857
NANOGP8 HGNC:23106
NEUROD1 HGNC:7762
NEUROD2 HGNC:7763
NEUROD4 HGNC:13802
NEUROD6 HGNC:13804
NEUROG1 HGNC:7764
NEUROG2 HGNC:13805
NEUROG3 HGNC:13806
NFAT5 HGNC:7774
NFATC1 HGNC:7775
NFATC2 HGNC:7776
NFATC3 HGNC:7777
NFATC4 HGNC:7778
NFIL3 HGNC:7787
NKX1-1 HGNC:24975
NKX1-2 HGNC:31652
NKX2-1 HGNC:11825
NKX2-2 HGNC:7835
NKX2-3 HGNC:7836
NKX2-4 HGNC:7837
NKX2-5 HGNC:2488
NKX2-6 HGNC:32940
NKX2-8 HGNC:16364
NKX3-1 HGNC:7838
NKX3-2 HGNC:951
NKX6-1 HGNC:7839
NKX6-2 HGNC:19321
NKX6-3 HGNC:26328
NOBOX HGNC:22448
NOTO HGNC:31839
NPAS2 HGNC:7895
NR1H4 HGNC:7967
NR2C1 HGNC:7971
NR2C2 HGNC:7972
NR2E1 HGNC:7973
NR2E3 HGNC:7974
NR2F1 HGNC:7975
NR2F2 HGNC:7976
NR2F6 HGNC:7977
NR3C1 HGNC:7978
NR3C2 HGNC:7979
NR4A1 HGNC:7980
NR4A2 HGNC:7981
NR4A3 HGNC:7982
NR5A1 HGNC:7983
NR5A2 HGNC:7984
OLIG1 HGNC:16983
OLIG2 HGNC:9398
OLIG3 HGNC:18003
ONECUT1 HGNC:8138
ONECUT2 HGNC:8139
ONECUT3 HGNC:13399
OSR1 HGNC:8111
OSR2 HGNC:15830
OTP HGNC:8518
OTX1 HGNC:8521
OTX2 HGNC:8522
OVOL1 HGNC:8525
OVOL2 HGNC:15804
PAX2 HGNC:8616
PAX3 HGNC:8617
PAX4 HGNC:8618
PAX5 HGNC:8619
PAX6 HGNC:8620
PAX7 HGNC:8621
PAX8 HGNC:8622
PBX1 HGNC:8632
PBX2 HGNC:8633
PBX3 HGNC:8634
PBX4 HGNC:13403
PDX1 HGNC:6107
PGR HGNC:8910
PHOX2A HGNC:691
PHOX2B HGNC:9143
PITX1 HGNC:9004
PITX2 HGNC:9005
PITX3 HGNC:9006
PKNOX1 HGNC:9022
PKNOX2 HGNC:16714
PLAGL1 HGNC:9046
POU1F1 HGNC:9210
POU2F1 HGNC:9212
POU2F2 HGNC:9213
POU2F3 HGNC:19864
POU3F1 HGNC:9214
POU3F2 HGNC:9215
POU3F3 HGNC:9216
POU3F4 HGNC:9217
POU4F1 HGNC:9218
POU4F2 HGNC:9219
POU4F3 HGNC:9220
POU5F1 HGNC:9221
POU5F1B HGNC:9223
POU6F1 HGNC:9224
POU6F2 HGNC:21694
PROP1 HGNC:9455
PRRX1 HGNC:9142
PRRX2 HGNC:21338
PTF1A HGNC:23734
RARA HGNC:9864
RARB HGNC:9865
RARG HGNC:9866
RAX HGNC:18662
RAX2 HGNC:18286
RBPJ HGNC:5724
RFX1 HGNC:9982
RFX2 HGNC:9983
RFX3 HGNC:9984
RFX4 HGNC:9985
RFX5 HGNC:9986
RFX6 HGNC:21478
RFX7 HGNC:25777
RORA HGNC:10258
RORB HGNC:10259
RORC HGNC:10260
RUNX1 HGNC:10471
RUNX2 HGNC:10472
RUNX3 HGNC:10473
RXRA HGNC:10477
RXRB HGNC:10478
RXRG HGNC:10479
SCX HGNC:32322
SHOX HGNC:10853
SHOX2 HGNC:10854
SIX1 HGNC:10887
SIX2 HGNC:10888
SIX3 HGNC:10889
SIX4 HGNC:10890
SIX5 HGNC:10891
SIX6 HGNC:10892
SMAD3 HGNC:6769
SNAI1 HGNC:11128
SNAI2 HGNC:11094
SNAI3 HGNC:18411
SOHLH2 HGNC:26026
SOX1 HGNC:11189
SOX2 HGNC:11195
SOX3 HGNC:11199
SOX4 HGNC:11200
SOX5 HGNC:11201
SOX6 HGNC:16421
SOX7 HGNC:18196
SOX8 HGNC:11203
SOX9 HGNC:11204
SOX10 HGNC:11190
SOX11 HGNC:11191
SOX12 HGNC:11198
SOX13 HGNC:11192
SOX14 HGNC:11193
SOX15 HGNC:11196
SOX17 HGNC:18122
SOX18 HGNC:11194
SOX21 HGNC:11197
SOX30 HGNC:30635
SP1 HGNC:11205
SP2 HGNC:11207
SP3 HGNC:11208
SP4 HGNC:11209
SP5 HGNC:14529
SP6 HGNC:14530
SP7 HGNC:17321
SP8 HGNC:19196
SP9 HGNC:30690
SP100 HGNC:11206
SPDEF HGNC:17257
SPI1 HGNC:11241
SPIB HGNC:11242
SPIC HGNC:29549
SREBF1 HGNC:11289
SREBF2 HGNC:11290
SRF HGNC:11291
SRY HGNC:11311
ST18 HGNC:18695
STAT3 HGNC:11364
TAL1 HGNC:11556
TAL2 HGNC:11557
TBP HGNC:11588
TBPL2 HGNC:19841
TBR1 HGNC:11590
TBX1 HGNC:11592
TBX2 HGNC:11597
TBX3 HGNC:11602
TBX4 HGNC:11603
TBX5 HGNC:11604
TBX18 HGNC:11595
TBX20 HGNC:11598
TBX21 HGNC:11599
TCF3 HGNC:11633
TCF4 HGNC:11634
TCF7 HGNC:11639
TCF7L1 HGNC:11640
TCF7L2 HGNC:11641
TCF12 HGNC:11623
TCF15 HGNC:11627
TCF21 HGNC:11632
TCF23 HGNC:18602
